epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.167,1.51159,3.38545,0.01137,0.68658,0.69626,0.74105,0.35507,1.43044,1.6023,0.01145,0.000657534,0.000657534,0.000657534
2,1164.76,1.74857,1.50001,0.01375,0.6727,0.63388,0.6979,0.29968,1.73026,1.35397,0.01455,0.00130781,0.00130781,0.00130781
3,1740.08,1.80908,1.32476,0.01373,0.83692,0.74299,0.83673,0.33224,1.76083,1.06632,0.01564,0.00194159,0.00194159,0.00194159
4,2262.99,1.80584,1.31253,0.01421,0.70167,0.70561,0.73854,0.31392,1.93486,1.22918,0.01559,0.00192575,0.00192575,0.00192575
5,2855.17,1.76557,1.1528,0.01361,0.70235,0.63084,0.69769,0.31068,1.76832,1.30242,0.01624,0.001901,0.001901,0.001901
6,3489.04,1.72004,1.1431,0.01274,0.80012,0.80374,0.87383,0.39729,1.70964,0.85687,0.01448,0.00187625,0.00187625,0.00187625
7,4125.19,1.71167,1.09525,0.01263,0.79858,0.73364,0.82595,0.39621,1.60003,0.90266,0.01279,0.0018515,0.0018515,0.0018515
8,4722.22,1.69159,1.0005,0.01291,0.78093,0.86619,0.87354,0.44874,1.53722,0.77054,0.01299,0.00182675,0.00182675,0.00182675
