epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27435.4,1.34087,0.59466,0.00853,0.93608,0.88969,0.93865,0.56147,1.55594,0.61102,0.01099,0.0015941,0.0015941,0.0015941
43,28099.5,1.35418,0.62246,0.00849,0.92948,0.88318,0.89071,0.50337,1.59433,1.75198,0.01238,0.0015842,0.0015842,0.0015842
44,28751.7,1.33464,0.59266,0.00855,0.87863,0.91339,0.93647,0.57314,1.42854,0.69389,0.00956,0.0015743,0.0015743,0.0015743
45,29414.5,1.37153,0.62731,0.00863,0.94013,0.88318,0.96058,0.52941,1.50989,0.63175,0.01152,0.0015644,0.0015644,0.0015644
46,30070.6,1.31422,0.58278,0.00868,0.8948,0.87383,0.89947,0.51119,1.46661,0.69248,0.01114,0.0015545,0.0015545,0.0015545
47,30698.2,1.33263,0.6055,0.00839,0.9457,0.89531,0.95375,0.55612,1.48175,0.55626,0.01063,0.0015446,0.0015446,0.0015446
48,31329.2,1.31827,0.58816,0.00841,0.92961,0.90187,0.94876,0.52118,1.64704,0.59824,0.0113,0.0015347,0.0015347,0.0015347
49,31956.5,1.31216,0.59926,0.00845,0.90926,0.88963,0.93411,0.54537,1.48012,0.61083,0.01053,0.0015248,0.0015248,0.0015248
50,32621.1,1.32371,0.62847,0.008,0.89928,0.87616,0.94282,0.54665,1.45078,0.70844,0.0102,0.0015149,0.0015149,0.0015149
51,33257.7,1.25996,0.59556,0.00795,0.95632,0.92073,0.95645,0.51475,1.53421,0.61824,0.01111,0.001505,0.001505,0.001505
52,33884.9,1.29779,0.59978,0.00804,0.95637,0.91121,0.94955,0.55761,1.45013,0.5145,0.01081,0.0014951,0.0014951,0.0014951
53,34508.3,1.31879,0.56188,0.00819,0.93779,0.91121,0.96449,0.56275,1.42246,0.5182,0.01067,0.0014852,0.0014852,0.0014852
54,35152.8,1.32824,0.56561,0.00833,0.92023,0.87383,0.9318,0.56087,1.39906,0.61409,0.01006,0.0014753,0.0014753,0.0014753
