epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1025.05,1.60074,3.55394,0.01146,0.74969,0.6578,0.72151,0.38541,1.48911,1.89121,0.01117,0.000648649,0.000648649,0.000648649
2,2630.29,1.69158,1.44514,0.01249,0.67578,0.74025,0.73061,0.33399,1.71942,1.79388,0.01418,0.00128927,0.00128927,0.00128927
3,3358.71,1.72604,1.37141,0.01211,0.81179,0.68692,0.77984,0.3525,1.83398,1.34855,0.01433,0.0019035,0.0019035,0.0019035
4,4008.11,1.7953,1.39315,0.01282,0.78096,0.63312,0.72938,0.30529,2.00496,1.44162,0.0156,0.0018812,0.0018812,0.0018812
5,4746.04,1.72655,1.3258,0.01196,0.60459,0.56445,0.52449,0.19088,2.32989,1.77316,0.01865,0.0018416,0.0018416,0.0018416
6,5485.39,1.74768,1.23658,0.0126,0.6836,0.73832,0.74784,0.2922,1.98944,1.40109,0.01438,0.001802,0.001802,0.001802
7,6270.03,1.79198,1.09343,0.01222,0.743,0.7757,0.7931,0.39313,1.72836,1.02115,0.01363,0.0017624,0.0017624,0.0017624
