epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24280.8,1.39118,0.72432,0.0104,0.89013,0.83291,0.91097,0.51536,1.53351,0.71477,0.01132,0.0011882,0.0011882,0.0011882
43,24849.6,1.43393,0.69667,0.0105,0.89223,0.87383,0.92778,0.4994,1.63179,0.70097,0.01172,0.0011684,0.0011684,0.0011684
44,25424,1.42009,0.67467,0.01053,0.85765,0.87277,0.90993,0.48714,1.59445,0.7286,0.01218,0.0011486,0.0011486,0.0011486
45,26003.5,1.41703,0.66406,0.00989,0.88071,0.86916,0.92093,0.46549,1.75983,0.72646,0.01269,0.0011288,0.0011288,0.0011288
46,26586.6,1.41014,0.67746,0.00994,0.87052,0.84827,0.91533,0.51152,1.52865,0.68338,0.01177,0.001109,0.001109,0.001109
47,27179.1,1.41429,0.6596,0.01057,0.91446,0.84112,0.909,0.51343,1.58013,0.60633,0.0111,0.0010892,0.0010892,0.0010892
48,27760.6,1.42786,0.65986,0.01037,0.90445,0.88464,0.94529,0.50252,1.56809,0.63522,0.01162,0.0010694,0.0010694,0.0010694
49,28347.8,1.37627,0.64454,0.01029,0.8531,0.86836,0.90343,0.50381,1.47169,0.65236,0.01105,0.0010496,0.0010496,0.0010496
50,28934.2,1.41945,0.64992,0.01018,0.95125,0.84112,0.93259,0.51198,1.64474,0.65369,0.01181,0.0010298,0.0010298,0.0010298
51,29525.9,1.38689,0.65052,0.0101,0.87376,0.84089,0.90214,0.43411,1.78246,0.89897,0.01322,0.00101,0.00101,0.00101
52,30110.1,1.33363,0.58481,0.00989,0.88304,0.88203,0.92129,0.48699,1.60477,0.69589,0.01191,0.0009902,0.0009902,0.0009902
53,30707.3,1.35585,0.59171,0.00937,0.90632,0.91121,0.94163,0.47994,1.75394,0.57683,0.01259,0.0009704,0.0009704,0.0009704
54,31290.9,1.35596,0.61628,0.01025,0.94118,0.87383,0.94775,0.48912,1.6942,0.5838,0.01272,0.0009506,0.0009506,0.0009506
55,31867.3,1.32944,0.58215,0.00977,0.91557,0.90654,0.95161,0.48816,1.68559,0.62287,0.01248,0.0009308,0.0009308,0.0009308
56,32433.6,1.37129,0.60557,0.01009,0.92591,0.88785,0.94895,0.5166,1.6152,0.58035,0.01153,0.000911,0.000911,0.000911
57,33005.7,1.35384,0.6348,0.00985,0.92558,0.93458,0.94304,0.53453,1.55132,0.54283,0.01092,0.0008912,0.0008912,0.0008912
58,33579.9,1.29825,0.55849,0.00926,0.91863,0.89682,0.93529,0.50071,1.74712,0.64711,0.01203,0.0008714,0.0008714,0.0008714
59,34157.5,1.30902,0.56899,0.00952,0.90158,0.91589,0.94712,0.51303,1.69832,0.62198,0.01163,0.0008516,0.0008516,0.0008516
60,34745.6,1.33773,0.553,0.00941,0.90017,0.89252,0.93369,0.47575,1.71613,0.64941,0.01229,0.0008318,0.0008318,0.0008318
61,35336.4,1.30481,0.56726,0.00922,0.92136,0.85981,0.92556,0.46512,1.79191,0.61785,0.01328,0.000812,0.000812,0.000812
62,35922.5,1.27956,0.56578,0.00921,0.93817,0.8785,0.94222,0.52324,1.56962,0.62539,0.01123,0.0007922,0.0007922,0.0007922
63,36489.5,1.29515,0.56969,0.00955,0.93284,0.90871,0.94342,0.52391,1.56047,0.56209,0.01172,0.0007724,0.0007724,0.0007724
64,37063.6,1.26145,0.53211,0.00929,0.94216,0.88785,0.95153,0.56758,1.38123,0.56891,0.0099,0.0007526,0.0007526,0.0007526
65,37628.1,1.26218,0.5499,0.00944,0.90028,0.92809,0.95061,0.5727,1.41642,0.54454,0.00992,0.0007328,0.0007328,0.0007328
66,38212.7,1.20765,0.50856,0.00868,0.95082,0.90353,0.95183,0.54412,1.55809,0.53061,0.01136,0.000713,0.000713,0.000713
67,38796.1,1.24409,0.54172,0.00912,0.94572,0.8955,0.94206,0.49348,1.75996,0.6011,0.01265,0.0006932,0.0006932,0.0006932
68,39366.9,1.2304,0.51402,0.00873,0.9756,0.93437,0.95132,0.52696,1.60677,0.49102,0.01184,0.0006734,0.0006734,0.0006734
69,39938.8,1.21111,0.50088,0.00844,0.94741,0.92991,0.95234,0.53901,1.61514,0.51514,0.01151,0.0006536,0.0006536,0.0006536
70,40512.1,1.19157,0.48051,0.00862,0.96077,0.91552,0.94656,0.56904,1.45753,0.51574,0.01033,0.0006338,0.0006338,0.0006338
71,41076.3,1.18964,0.53025,0.00842,0.93405,0.91121,0.93227,0.5139,1.71978,0.57535,0.01242,0.000614,0.000614,0.000614
72,41662.8,1.17459,0.49162,0.00806,0.94893,0.93925,0.95638,0.56537,1.55905,0.46973,0.01055,0.0005942,0.0005942,0.0005942
73,42255.8,1.22957,0.47522,0.00907,0.9518,0.93925,0.95772,0.50837,1.66522,0.51801,0.01214,0.0005744,0.0005744,0.0005744
74,42834.7,1.16976,0.48118,0.00834,0.94756,0.92876,0.96033,0.55697,1.50394,0.52124,0.01062,0.0005546,0.0005546,0.0005546
75,43430.1,1.19854,0.52283,0.0085,0.96651,0.91589,0.96464,0.57663,1.4442,0.4685,0.0099,0.0005348,0.0005348,0.0005348
76,44041,1.12143,0.47767,0.0077,0.96266,0.8972,0.9508,0.57179,1.46937,0.52411,0.01018,0.000515,0.000515,0.000515
77,44623,1.12633,0.48383,0.00784,0.94662,0.91163,0.94811,0.53753,1.56372,0.54338,0.0115,0.0004952,0.0004952,0.0004952
78,45202.3,1.12452,0.4702,0.00818,0.92886,0.91522,0.94733,0.56337,1.48869,0.52463,0.01057,0.0004754,0.0004754,0.0004754
79,45772,1.15962,0.45659,0.00861,0.94539,0.88985,0.94763,0.57893,1.37201,0.51103,0.0095,0.0004556,0.0004556,0.0004556
