epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11878.6,1.25359,0.67058,0.00805,0.90451,0.82243,0.92544,0.55991,1.38543,0.66167,0.01013,0.0015941,0.0015941,0.0015941
43,12157.1,1.26018,0.66291,0.00806,0.89138,0.92037,0.95714,0.56914,1.47133,0.62913,0.01052,0.0015842,0.0015842,0.0015842
44,12450.8,1.23082,0.65689,0.00776,0.89674,0.89275,0.94798,0.58158,1.34971,0.64641,0.00989,0.0015743,0.0015743,0.0015743
45,12734.2,1.19756,0.66973,0.00725,0.93016,0.88318,0.93968,0.55164,1.50716,0.6642,0.01077,0.0015644,0.0015644,0.0015644
46,13011.1,1.24856,0.63991,0.00787,0.85933,0.8271,0.89684,0.51802,1.41584,0.85114,0.01016,0.0015545,0.0015545,0.0015545
47,13284.4,1.24725,0.66964,0.00829,0.92676,0.88698,0.93762,0.5527,1.50935,0.70206,0.01072,0.0015446,0.0015446,0.0015446
48,13553.2,1.22867,0.63558,0.00762,0.86138,0.87116,0.9242,0.55185,1.45751,0.73808,0.01058,0.0015347,0.0015347,0.0015347
49,13824.6,1.25588,0.68638,0.00798,0.90776,0.87373,0.92999,0.55094,1.45751,0.73534,0.01041,0.0015248,0.0015248,0.0015248
50,14102.6,1.25133,0.6587,0.00753,0.91093,0.90799,0.94681,0.57105,1.401,0.63963,0.00986,0.0015149,0.0015149,0.0015149
51,14370.9,1.21513,0.6487,0.00751,0.91219,0.90187,0.96114,0.59349,1.39606,0.60797,0.0099,0.001505,0.001505,0.001505
52,14645.9,1.23871,0.66386,0.00722,0.87664,0.89664,0.9379,0.53161,1.50614,0.72308,0.01116,0.0014951,0.0014951,0.0014951
53,14922.2,1.21198,0.66293,0.00724,0.92943,0.8972,0.95269,0.58847,1.3246,0.56213,0.00949,0.0014852,0.0014852,0.0014852
54,15192.9,1.2671,0.63628,0.00775,0.89746,0.89976,0.94377,0.59505,1.31891,0.58429,0.00924,0.0014753,0.0014753,0.0014753
55,15470.7,1.22576,0.63647,0.00747,0.91155,0.88318,0.94723,0.54118,1.57928,0.57711,0.01101,0.0014654,0.0014654,0.0014654
56,15762.6,1.21163,0.62195,0.00761,0.92863,0.91205,0.95636,0.59386,1.42278,0.55664,0.00949,0.0014555,0.0014555,0.0014555
57,16057.8,1.21169,0.5941,0.00725,0.88549,0.90342,0.94014,0.55873,1.5127,0.66484,0.01014,0.0014456,0.0014456,0.0014456
58,16342.2,1.18953,0.59211,0.00706,0.92781,0.90082,0.9448,0.5645,1.53453,0.59149,0.01083,0.0014357,0.0014357,0.0014357
59,16625.1,1.21459,0.57634,0.00761,0.91297,0.92523,0.94093,0.52636,1.56175,0.75777,0.01091,0.0014258,0.0014258,0.0014258
60,16905.1,1.14897,0.57461,0.00694,0.94669,0.86916,0.94845,0.56201,1.526,0.60675,0.0102,0.0014159,0.0014159,0.0014159
61,17209.6,1.19866,0.61873,0.00749,0.91842,0.89428,0.9484,0.61331,1.35875,0.57247,0.00924,0.001406,0.001406,0.001406
62,17492,1.14627,0.57227,0.0072,0.85551,0.8972,0.94786,0.57351,1.33832,0.57383,0.00961,0.0013961,0.0013961,0.0013961
63,17775.3,1.17879,0.57683,0.00693,0.89634,0.87383,0.92658,0.5806,1.32659,0.60517,0.00923,0.0013862,0.0013862,0.0013862
64,18045.3,1.15122,0.54323,0.0068,0.9233,0.88785,0.94081,0.5461,1.52457,0.61387,0.01036,0.0013763,0.0013763,0.0013763
65,18318.5,1.12549,0.5688,0.00687,0.96117,0.92525,0.96057,0.5852,1.36685,0.56543,0.00949,0.0013664,0.0013664,0.0013664
66,18582.9,1.12836,0.55507,0.00688,0.87103,0.91527,0.92493,0.55765,1.39642,0.64543,0.01009,0.0013565,0.0013565,0.0013565
67,18855.1,1.15293,0.56468,0.00708,0.92837,0.85981,0.93126,0.58725,1.36121,0.57733,0.0094,0.0013466,0.0013466,0.0013466
68,19127,1.12054,0.57745,0.00685,0.92347,0.90213,0.95406,0.60441,1.36965,0.59585,0.00923,0.0013367,0.0013367,0.0013367
69,19402.5,1.1847,0.57677,0.00724,0.86334,0.91517,0.94406,0.57371,1.46503,0.65729,0.00966,0.0013268,0.0013268,0.0013268
70,19676.5,1.15022,0.5419,0.00734,0.94017,0.86916,0.93979,0.57658,1.3572,0.57554,0.00952,0.0013169,0.0013169,0.0013169
71,19942.4,1.13512,0.53894,0.00677,0.91684,0.86916,0.93468,0.59944,1.28011,0.5583,0.00902,0.001307,0.001307,0.001307
72,20215.6,1.14547,0.53458,0.00717,0.91361,0.90187,0.94916,0.59387,1.38667,0.5833,0.00965,0.0012971,0.0012971,0.0012971
73,20483,1.14412,0.52416,0.00669,0.91836,0.89355,0.94704,0.60435,1.32105,0.54833,0.00882,0.0012872,0.0012872,0.0012872
74,20760.6,1.14217,0.56126,0.00721,0.91869,0.89754,0.94529,0.59206,1.34833,0.57304,0.00942,0.0012773,0.0012773,0.0012773
75,21032.6,1.13672,0.53192,0.00678,0.96068,0.88318,0.95959,0.56649,1.42946,0.54667,0.01032,0.0012674,0.0012674,0.0012674
76,21308.8,1.08379,0.5338,0.00676,0.9429,0.8785,0.91667,0.59663,1.2919,0.54157,0.00914,0.0012575,0.0012575,0.0012575
77,21590.8,1.11118,0.55935,0.00656,0.92205,0.88443,0.92649,0.5725,1.37408,0.54449,0.00958,0.0012476,0.0012476,0.0012476
78,21864.7,1.08982,0.53632,0.00643,0.88652,0.92056,0.94129,0.55728,1.43883,0.60226,0.01027,0.0012377,0.0012377,0.0012377
79,22137.3,1.0654,0.51963,0.00683,0.95396,0.87142,0.94297,0.60183,1.3137,0.53602,0.0092,0.0012278,0.0012278,0.0012278
80,22412.4,1.06223,0.50804,0.00627,0.96087,0.91804,0.96426,0.56659,1.47037,0.58437,0.01022,0.0012179,0.0012179,0.0012179
81,22678.6,1.05155,0.50247,0.0067,0.95081,0.92991,0.96922,0.58879,1.41531,0.53881,0.01008,0.001208,0.001208,0.001208
82,22943.7,1.07296,0.5361,0.00662,0.93205,0.91121,0.96112,0.58557,1.40141,0.55843,0.00943,0.0011981,0.0011981,0.0011981
83,23230.1,1.04325,0.52148,0.00619,0.94119,0.89741,0.9573,0.60319,1.31157,0.51627,0.00903,0.0011882,0.0011882,0.0011882
84,23517.1,1.04912,0.51156,0.00631,0.92232,0.90654,0.95315,0.60742,1.37825,0.54888,0.00925,0.0011783,0.0011783,0.0011783
85,23797.3,1.03606,0.5073,0.00635,0.92368,0.90486,0.94523,0.58528,1.34908,0.58026,0.00951,0.0011684,0.0011684,0.0011684
86,24084,1.05091,0.5475,0.00644,0.93478,0.89252,0.94878,0.59704,1.3521,0.60511,0.00961,0.0011585,0.0011585,0.0011585
87,24363.7,1.07418,0.51746,0.00655,0.89866,0.91165,0.95693,0.60259,1.29993,0.52601,0.00896,0.0011486,0.0011486,0.0011486
88,24664,1.0609,0.50666,0.0062,0.94715,0.8785,0.95606,0.5897,1.28514,0.54672,0.00969,0.0011387,0.0011387,0.0011387
89,24955.6,1.04385,0.49694,0.00617,0.93679,0.90027,0.9541,0.61272,1.25297,0.52213,0.00881,0.0011288,0.0011288,0.0011288
90,25256.8,1.0094,0.48759,0.006,0.93705,0.90432,0.94518,0.60137,1.31273,0.49553,0.00918,0.0011189,0.0011189,0.0011189
91,25560.5,0.9905,0.47543,0.0061,0.92812,0.88318,0.94757,0.60385,1.28675,0.57578,0.0092,0.001109,0.001109,0.001109
92,25836.5,0.97484,0.49491,0.00588,0.92456,0.91632,0.963,0.61658,1.21636,0.54312,0.00844,0.0010991,0.0010991,0.0010991
93,26154.2,1.01935,0.48343,0.00618,0.93821,0.92056,0.96651,0.63216,1.21045,0.49658,0.00848,0.0010892,0.0010892,0.0010892
94,26491.6,1.00742,0.50122,0.00595,0.92037,0.9182,0.96926,0.61415,1.26423,0.5198,0.009,0.0010793,0.0010793,0.0010793
95,26778.9,0.99441,0.47642,0.00564,0.90788,0.92105,0.96105,0.606,1.27984,0.5311,0.00892,0.0010694,0.0010694,0.0010694
